session,run_id,filename,formula,elements,supercell size,image distance (target),image distance (actual),sample size,relaxer,connectivity_done,properties_done,provenance,source_folder
S.2.HEA,S.2.5,High-entropy_CollCode149266,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,15.968,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.6,High-entropy_CollCode137167,La0.56Ce0.62Pr0.38Nd0.24Sm0.2Bi2S4O1F1,"['La', 'Ce', 'Pr', 'Nd', 'Sm', 'Bi', 'S', 'O', 'F']","[4, 4, 2]",15.0,16.14348,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.7,High-entropy_CollCode49498,Ti4Co2Ni1.96Sn1.784Sb1.996,"['Ti', 'Co', 'Ni', 'Sn', 'Sb']","[3, 3, 3]",15.0,17.72091,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.8,Mica_0000836,K2Na0.222Li0.45Mg5.328Fe1.376Si6.624O20F4,"['K', 'Na', 'Li', 'Mg', 'Fe', 'Si', 'O', 'F']","[3, 2, 2]",15.0,15.987,400.0,CHGNET,False,True,American Mineralogist,S.2.HEA
S.2.HEA,S.2.9,High-entropy_CollCode64142,In0.8Ag0.8Sn0.8Bi0.8Te4Pb0.8,"['In', 'Ag', 'Sn', 'Bi', 'Te', 'Pb']","[3, 3, 3]",15.0,18.76638,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.10,High-entropy_CollCode137168,La0.38Ce0.42Pr0.42Nd0.4Sm0.38Bi2S4O1F1,"['La', 'Ce', 'Pr', 'Nd', 'Sm', 'Bi', 'S', 'O', 'F']","[4, 4, 2]",15.0,16.08184,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.11,High-entropy_CollCode264461,Zr0.4Sc0.4Nb0.4Pd0.4Rh0.4,"['Zr', 'Sc', 'Nb', 'Pd, 'Rh']","[5, 5, 5]",15.0,16.403,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.12,High-entropy_CollCode137169,La0.18Ce0.18Pr0.6Nd0.64Sm0.4Bi2S4O1F1,"['La', 'Ce', 'Pr', 'Nd', 'Sm', 'Bi', 'S', 'O', 'F']","[4, 4, 2]",15.0,16.08184,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.13,High-entropy_CollCode149269,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,16.488,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.14,High-entropy_CollCode149265,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 5]",15.0,17.12,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.15,High-entropy_CollCode49497,Ti4Co1.988Ni1.996Sn1.932Sb1.996,"['Ti', 'Co', 'Ni', 'Sn', 'Sb']","[3, 3, 3]",15.0,17.67231,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.3.random,S.3.1,1001072,Sr8Ca2.6668Nb5.3332O24,"['Sr', 'Ca', 'Nb', 'O']","[2, 2, 2]",400.0,0.0,16.38,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.2,1000233,BaYFeCuO5,"['Ba', 'Y', 'Fe', 'Cu', 'O']","[4, 4, 2]",400.0,0.0,15.312,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.3,1000194,Ca3Mn3O8,"['Ca', 'Mn', 'O']","[3, 2, 3]",400.0,0.0,15.996,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.4,1001705,Sr0.4Ca0.8Pr2.8Mn4O12,"['Sr', 'Ca', 'Pr', 'Mn', 'O']","[3, 3, 2]",400.0,0.0,15.3536,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.5,1001055,Gd0.58Ta1.74W0.26O5,"['Gd', 'Ta', 'W', 'O']","[4, 2, 4]",400.0,0.0,15.432,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.6,1004049,La3.5Ru4O13,"['La', 'Ru', 'O']","[2, 3, 4]",400.0,0.0,15.424,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.7,4002464,SrTaNO2,"['Sr', 'Ta', 'N', 'O']","[3, 3, 2]",400.0,0.0,16.1316,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.8,4310337,Ca3Ti1Al25.88Au6.919,"['Ca', 'Ti', 'Al', 'Au']","[2, 2, 2]",400.0,0.0,17.3262,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.9,1520883,Ba0.8Fe0.8Bi0.4O2.601,"['Ba', 'Fe', 'Bi', 'O']","[4, 4, 4]",400.0,0.0,16.274,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.10,1519044,Ba0.92Sr0.28La0.48Pr2.32Mn4O12,"['Ba', 'Sr', 'La', 'Pr', 'Mn', 'O']","[3, 2, 3]",400.0,0.0,15.52046,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.11,7706150,H8PbC4(N3Cl2)2,"['H', 'Pb', 'C', 'N', 'Cl']","[2, 3, 1]",400.0,0.0,16.612,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.12,1560610,BaLaInIrO6,"['Ba', 'La', 'In', 'Ir', 'O']","[3, 3, 2]",400.0,0.0,16.3484,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.13,4031805,Mg0.5Ti0.65Bi0.8O3,"['Mg', 'Ti', 'Bi', 'O']","[4, 4, 4]",400.0,0.0,15.92,CHGNET,False,True,ICSD,S.3.random
S.3.random,S.3.14,1544504,V0.5Fe0.5Pb1O3,"['V', 'Fe', 'Pb', 'O']","[4, 4, 4]",400.0,0.0,15.2136,CHGNET,False,True,ICSD,S.3.random
S.4.Martin,S.4.1,olivine,Na2MnFe(PO4)2,"['Na', 'Mn', 'Fe', 'P', 'O']","[2, 3, 4]",15.0,18.6561,400.0,CHGNET,True,True,Martin Petersen,S.4.Martin
S.4.Martin,S.4.2,maricite,Na2MnFe(PO4)2,"['Na', 'Mn', 'Fe', 'P', 'O']","[2, 3, 4]",15.0,18.59304,400.0,CHGNET,True,True,Martin Petersen,S.4.Martin
S.4.Martin,S.4.3,Na2Fe2SO4,Na5.12Fe3.44000004S6O24,"['Na', 'Mn', 'S', 'O']","[2, 2, 3]",15.0,17.980642,400.0,CHGNET,False,True,Martin Petersen,S.4.Martin
S.5.ice-N100,S.5.1,Ice-Ih-119913,H2O,"['H', 'O']","[4, 4, 3]",0.0,17.9792,1000.0,CHGNET,True,True,ICSD,S.5.ice-N100
S.6.ice-400,S.6.1,Ice-Ih-119913,H2O,"['H', 'O']","[4, 4, 3]",15.0,17.9792,400.0,CHGNET,True,True,ICSD,S.6.ice-400
S.7.ice-s400,S.7.1,Ice-Ih-119913,H2O,"['H', 'O']","[3, 3, 2]",10.0,13.4844,400.0,CHGNET,True,True,ICSD,S.7.ice-s400
S.8.B7,S.8.1,HEA,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,16.445,400.0,CHGNET,False,True,ICSD,S.8.B7
S.8.B7,S.8.2,DoublePerov,Cs1Sn0.5Pb0.5I3,"['Cs', 'Sn', 'Pb', 'I']","[3, 3, 3]",15.0,17.77485,400.0,CHGNET,False,True,Andy,S.8.B7
S.8.B7,S.8.3,Gehlenite,Ca2Al2SiO7,"['Ca', 'Al', 'Si', 'O']","[2, 2, 3]",15.0,15.267,400.0,CHGNET,False,True,Okhotnikov,S.8.B7
S.8.B7,S.8.4,Spinel,V10.6672Zn10.72O32,"['V', 'Zn', 'O']","[2, 2, 2]",15.0,16.794,400.0,CHGNET,False,True,Andy,S.8.B7
S.8.B7,S.8.5,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,400.0,CHGNET,False,True,ICSD,S.8.B7
S.8.B7,S.8.6,Hanada,In4.8Cu1.6Se8,"['In', 'Cu', 'Se']","[3, 3, 2]",15.0,17.28,400.0,CHGNET,False,True,Andy,S.8.B7
S.9.B7-N100,S.9.1,HEA,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,16.445,100.0,CHGNET,False,True,ICSD,S.9.B7-N100
S.9.B7-N100,S.9.2,DoublePerov,Cs1Sn0.5Pb0.5I3,"['Cs', 'Sn', 'Pb', 'I']","[3, 3, 3]",15.0,17.77485,100.0,CHGNET,False,True,Andy,S.9.B7-N100
S.9.B7-N100,S.9.3,Gehlenite,Ca2Al2SiO7,"['Ca', 'Al', 'Si', 'O']","[2, 2, 3]",15.0,15.267,100.0,CHGNET,False,True,Okhotnikov,S.9.B7-N100
S.9.B7-N100,S.9.4,Spinel,V10.6672Zn10.72O32,"['V', 'Zn', 'O']","[2, 2, 2]",15.0,16.794,100.0,CHGNET,False,True,Andy,S.9.B7-N100
S.9.B7-N100,S.9.5,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,100.0,CHGNET,False,True,ICSD,S.9.B7-N100
S.9.B7-N100,S.9.6,Hanada,In4.8Cu1.6Se8,"['In', 'Cu', 'Se']","[3, 3, 2]",15.0,17.28,100.0,CHGNET,False,True,Andy,S.9.B7-N100
